address,balance
0x000d774F5fE948c3294F3c09C08E2C0D603374C8,13849027166930314000000
0x002D931eC1090474018b8711d904b2fFCF408DDf,176777177444668770000
0x00763A4781dcA60F6C1C123A92b5C914fe03bB31,196241737656375540000
0x00aB97c782c661fb3D08C96dce06176938101211,41466232764674990000
0x00ea67d1E6caB97994e75C800bC65bF632598802,7077058814561681000000
0x01247FDF97eF4ce628d1e639b83a79A78dc1bB8e,70815869653179580000
0x015Cdff2E472F657E8c34B4e88fc60f16f7610ad,143960464654906790000
0x01650a012B91e32A077135Bf7C9881C44b9775a5,891070593461421500000
0x01EA8648218356D344Ac1e0160Cf5c51B9173FCE,613732036989883800000
0x02706C602c59F86Cc2EbD9aE662a25987A7C7986,3025689102548650500
0x029F5cB93F391dd140b03aF7B8D492a17A6A073A,19380327390841947000000
0x02E7b714fae84e4BA80f3CDa5508553e7CF5042A,106893039774696600000
0x02Fbd037A4db4a49F8AfB0FF092bD3AD27844307,34514789225977692000
0x02c713A91fDB54ce03f85ff19635FcCB59E50b3e,1069466040498588400000
0x0307466115Bc91e1D18Eb43926b5a5dD55910182,6577172972524345000000
0x034DfC5dCAa498d6FC10650F9F37a83a663C1e29,135373082397441840000
0x038F73d640CdC3DDb1c3B03EE90e65056A7D3619,520803308488026360000
0x03A59436DA776870Cd1fd5cD9C398357654e2b6c,611069377500763500000
0x040cA8dA9f17f74DA3FeA1dE34fa3CCa19E639c8,233752901097684600000
0x0422211c02fef3F623B1dA67A116482B029D8BCa,63431772701100840000
0x046fD98Cfd2A3a51875f5a0b6fEea5ABAc442913,3263071253541368600000
0x04c24Fb851c31DB6cC9c69ce626A38Ca26a61919,279388471658824860000
0x04eEaadf602411105414727596E956F85216C0C9,115207254150061540000
0x04fED7b777ae21b159039Dc935E14D6986405a64,71191958446597825000
0x0507B3ffe3836aD0f256f3D53b8fa7653e54E2EB,397787139226574200000
0x052d0e1303e118c846beceDD3d3cbB10999E8FCA,5000000000000000000000
0x058cFe683a1688E283bC88c6065c583F78cD90Fb,5219914080532137000000
0x0590E9d763bd6A73826b21dC520ae39C35a78728,286833774049675180000
0x05c63c42637060B3D4F8877f357fC7Fe1E387600,303004053825709200000
0x0630717c9c6baEAbd2b0852e09dF08FEbAcCd227,4882852331854663000
0x064cB0bB4c8ABE11935134aEE670C032D6833556,11403039469287145000000
0x0661e91fD322ACB242e0c59FBAC6062714dBa280,2549405025521141500000
0x068E19d29a8C8BF57F30Da429bC64f6a50286b82,457713260760752300000
0x06917EFCE692CAD37A77a50B9BEEF6f4Cdd36422,54799999999999995805696
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,1810115933976492200000
0x0752C21499eF2d003B7BebE9C1eC737EC3e6Eae9,450562373127513300000
0x0761F062E03fEd187060E9c6150c21bA9A64307d,294204643336571200000
0x07Da272ad46DB8F83af8574dDc7b48944b24f035,3250625478466751400000
0x081Ff30EcbB8861d4b1F5cBeE862113b0E3Bf17d,524567191705994850000
0x0849101093FcD6220f0554f055E6B9E9aFf489Fb,83397482577282730000
0x08539431F4d59a02D0347588F6fBdb7d69aAd2c3,14534474197873914000
0x08C53a22096cA6AFA745C6f94690495f9ba35f76,193955616952450300000
0x092cC0BF1b4b0947962d6aC96d0Bb8bC21533406,21781427748251028000000
0x094855473A1dE933ceEF87A7Ba5b865d148a9798,93085537584001430000
0x09C16768d1a88eB1dD91AAbAbDFFA0DDF2f940C4,113706026765030470000
0x09Fa38EBa245bb68354B8950FA2fe71f02863393,7955795379125836000
0x0A7418ed592907CfdFc454Ce197b668749a9994B,602683858089898100000
0x0A83985E4A6E8Dae2B67beD4f2d9268f6806Ce00,792310941146389200
0x0AC9eCd9AF985fe45c85a2713413C0D92F51b5CA,213291467400000000000
