address,vefvm_balance
0x000d774F5fE948c3294F3c09C08E2C0D603374C8,73159620576462356480
0x002D931eC1090474018b8711d904b2fFCF408DDf,933852686729660160
0x004AeA42855eAfdfF9e6a6B3950551065Ebf3944,1308876211373530
0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,8351184556762784768
0x005B8746ECf646f0F7481accE3280FC6af2B1EA5,4305239086597755
0x00763A4781dcA60F6C1C123A92b5C914fe03bB31,1036677226143991808
0x0089c97abF56B6122dE5d52d41eDa521F188EB12,267
0x009a54BeCF0B33A400E5B69e33cD5318c6849bB6,871870009323881984
0x00E77b60b2B6536b8d4Eef078141A3b3F0f1B230,3907294
0x00aB97c782c661fb3D08C96dce06176938101211,219051765819541984
0x00c29e6d03843906cAB13A411dEf199A359b5AB2,1435104718825399
0x00ea67d1E6caB97994e75C800bC65bF632598802,37385653983477833728
0x011CE6FE10159B88B27F2711D8Bd696408dd0FB6,3924844940637069824
0x01247FDF97eF4ce628d1e639b83a79A78dc1bB8e,374095746377771712
0x015C0186156b9D3661DdffE2B9c9fF0fD034e484,4351412234405166
0x015Cdff2E472F657E8c34B4e88fc60f16f7610ad,877545557514056704
0x015a549aAF6827ed9BDe10b05bCBB13AaE5Fc373,2432757751
0x01650a012B91e32A077135Bf7C9881C44b9775a5,4707746017151448064
0x01Bc28E036b6e75247Fe8F49f0a8b9410b19d851,8511597709588
0x01EA8648218356D344Ac1e0160Cf5c51B9173FCE,3242134080653377024
0x01c8c79B950B9992Bc40657811A245f39f2a4FA5,427
0x0220932AeAF4f446055a5E69adb70ba83Bb46EC5,0
0x02706C602c59F86Cc2EbD9aE662a25987A7C7986,15983669037300404
0x0287f03906721F54dE9b2238f6269CeBbd7405d7,0
0x029F5cB93F391dd140b03aF7B8D492a17A6A073A,110752443296211517440
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,8243244254947652608
0x02E7b714fae84e4BA80f3CDa5508553e7CF5042A,564678958162148608
0x02F34f145Bf329ff16EaCd4618439EfA6c00736B,1
0x02Fbd037A4db4a49F8AfB0FF092bD3AD27844307,228316674579213024
0x02aFE5211cD9731B2E65BFc7857e73BdA234F6D3,833762980038412672
0x02bEeF83053653914e2a271BeCfE29EdB933E7C4,1291439365170162432
0x02c713A91fDB54ce03f85ff19635FcCB59E50b3e,7870603557839725568
0x0307466115Bc91e1D18Eb43926b5a5dD55910182,34746675730955694080
0x034DfC5dCAa498d6FC10650F9F37a83a663C1e29,715129172979898368
0x038F73d640CdC3DDb1c3B03EE90e65056A7D3619,2751223749126032384
0x03A109DB9ED60291E6107dF4213912D07a127377,109
0x03A59436DA776870Cd1fd5cD9C398357654e2b6c,3228068171503201792
0x03bD9bD74cEc295DEA6BBAE0A31394CcEb4cF844,3549707577332881
0x03c01DDA0D1338e221dFD469C870AB21DCF1F95E,12
0x03d7C4D50dB2fbf8E0DCFA9Efc5ddF31d4D4BB36,23365306103692
0x040cA8dA9f17f74DA3FeA1dE34fa3CCa19E639c8,1235218642542884864
0x0422211c02fef3F623B1dA67A116482B029D8BCa,335088230782037184
0x04565450c8938846012D4BF745C2616F3441fd1f,395977580122592768
0x046fD98Cfd2A3a51875f5a0b6fEea5ABAc442913,17377114651104776192
0x0483fa3eBE9A8F62Ecd6C2028F4B65a38662eEa4,82822739771488384
0x04Bf5D3c04e9d3b28e51BafdDcd608A28D8873E9,65
0x04c24Fb851c31DB6cC9c69ce626A38Ca26a61919,1475912664017679360
0x04eEaadf602411105414727596E956F85216C0C9,668015365427241344
0x04fED7b777ae21b159039Dc935E14D6986405a64,376082493396020096
0x05033d76a7eA9cf1cF86c2d2a78F9A5e21F38B3F,12883475042903916544
0x0507B3ffe3836aD0f256f3D53b8fa7653e54E2EB,2365860543642942976
0x052d0e1303e118c846beceDD3d3cbB10999E8FCA,26413270655991660544
0x0540AB3B2Cb40DAD1EF9c19B07eA1D707b78fE47,74
0x058cFe683a1688E283bC88c6065c583F78cD90Fb,27575000682023440384
0x0590E9d763bd6A73826b21dC520ae39C35a78728,1515243621450725632
0x05c63c42637060B3D4F8877f357fC7Fe1E387600,1600665616712224512
0x05d2838E962299878BF9e8941dD396de4aa998e5,153142204145862368
0x05d5a38C1a57AB37BCf04b23667212d1a567164b,2989611221885124
0x060DA8841055677c9320154ab78CD4c86f60CCe9,476
0x0611D04FB18E5a403F0D6720CA4766fF592f7362,4914517324648126
0x0623e23cBd07ebaDE18036CC708bA0B8CC42E789,133
0x0630717c9c6baEAbd2b0852e09dF08FEbAcCd227,25794420042903448
0x0649EDf640F8c4a25d556cd3303686b80387c5C4,4191803378831985664
0x064D587434EA8EC97921991dD9060Faa1C099919,459103696536876
