address,balance
0x0A83985E4A6E8Dae2B67beD4f2d9268f6806Ce00,3469496887505796500000
0x19145B49fd5e4c345822a4a83Fe5543C5BBB785c,68957665892025240000
0x1EFfb1361921130B9d5259DA5faBC91C3eFb6234,5314522940012108000000
0x24B94c794a47A5DDddACD8d4408D4D22361f62a8,334481045607642960000
0x32E76CE68901e81f6f4F3d0753215Ec386c80dc5,58631424245973620000
0x377762B549E5126763cc2Ef18a20B804B921c2C8,2101635076673040300000
0x3BEf924777E552e5A5a5A3f3eDEdEa737DE11597,5262509458354378000000
0x4191B3BC49D21c69922d0B175aB6EFBCF609FBB6,59770685599215590000
0x4715cE8792E5D4423c8a14C4B6fDD37548EB9a8a,981440895385138200000
0x523d0cd051E272856a2C925C08a5FBA8425c4944,2234006345296616600000
0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,56085187393629240000000
0x5B5bEEBed201470d3864b835dB6F96bBe84bB1eC,77255389873998100000
0x5ca642d0138f8fa36f4ec6311190825392246AdA,718887731477736000000
0x6D4ed8a1599DEe2655D51B245f786293E03d58f7,393589475754769450000
0x6a5334E6c9352C1b5735969DD439e41BCF9b4dA4,8069286909619472000
0x6c5726Cb312f931fce2FC8080B6A6bB876Fe7bF7,1189912929218556000000
0x779c1305d19A61ce5C460Eb8e854e27491013a56,21493388324443513000
0x887e8b6119B38C60cb03CAb204C0A704c6E0A473,119693033102861830000
0x8e3e28e403767931A31CA33A5EeB838504F9E2Bb,18681609523054174000
0x95d957731c8161825dd8d984E65BA5f03464389e,25361574138515342000000
0xA8C8703083Aa9dFa8508F06d6f271d3965e55B73,243095900236804880000
0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,127379655542837150000
0xC27D3Cd78cB5CF1d914D1c9cC0e7b1cEB530a534,16673166579017097000000
0xD9ff18Bf57a664e7F8447E4EB77aa8D5f3245b54,1096439111092920500000
0xDBF4a4874E5BF633D8628e5272F9965EC1Ee4dD9,1556812801779224000000
0xDC18517d7f2EffC6ccE195f5a2Bf64AB52367AD3,689329936321828000000
0xFC9e0e4F0359e0972C02b840B9c36E129f82ab25,53929362559103670000000
0xa3cC2d84296bb93234E1E3929aC66cd9a62573c3,288487051542994400000
0xb4a3c2DebfC033Ee3399AD6aDf0B4fc74db92baA,26499999999999998951424
0xbCc8cB0a825c61355a460da85159f1B43D5d49AB,87339869292898220000000
0xc01895BF22E746Af53A6d820a3224521CEe0B916,136894522995198820000
0xdd97E7Ffb2aE6D44c5B864aa79Cc7FdC3AA97f1F,347539708906533360000
0xe5Fae1A033AD8cb1355E8F19811380AfD15B8bBa,3937694561132302000000
0xf3aB2F9D8c27CDca5a100AFA4346821ae0A7fD04,197045234959675330000
0xf99C8873B972b4192e789F55AB954188D0d9A133,109046976057374290000000
0xfDAc6FFD9Abff18D859b16fCa7198BcD7AfD2b2B,876955461937435400000
