address,bsc_mpx_balance,bsc_thena_lp_balance,bsc_thena_mpx_balance,bsc_fsmlp_balance,fantom_equalizer_lp_balance,fantom_equalizer_mpx_balance,fantom_fsmlp_balance,fantom_fvm_lp_balance,fantom_fvm_mpx_balance,fantom_mpx_balance,fantom_smpx_balance,total_mpx,vefvm_balance
0x0422211c02fef3F623B1dA67A116482B029D8BCa,0,0,0,0,0,0,0,0,0,21707522467921,63431772701100843008,63431794408623308800,335088230782037184
0x04565450c8938846012D4BF745C2616F3441fd1f,0,0,0,0,0,0,0,0,0,74958074158977368064,0,74958074158977368064,395977580122592768
0x046fD98Cfd2A3a51875f5a0b6fEea5ABAc442913,0,0,0,0,0,0,3287793184417644544000,0,0,26395408392620978176,3263071253541368627200,3289466661933989494784,17377114651104776192
0x0483fa3eBE9A8F62Ecd6C2028F4B65a38662eEa4,0,0,0,0,0,0,0,0,0,15678243874107398144,0,15678243874107398144,82822739771488384
0x04Bf5D3c04e9d3b28e51BafdDcd608A28D8873E9,0,0,0,0,8229,12389,0,0,0,0,0,12389,65
0x04c24Fb851c31DB6cC9c69ce626A38Ca26a61919,0,0,0,0,0,0,0,0,0,0,279388471658824892416,279388471658824892416,1475912664017679360
0x04eEaadf602411105414727596E956F85216C0C9,0,0,0,0,0,0,0,0,0,11247241797737117696,115207254150061539328,126454495947798659072,668015365427241344
0x04fED7b777ae21b159039Dc935E14D6986405a64,0,0,0,0,0,0,0,0,0,0,71191958446597832704,71191958446597832704,376082493396020096
0x05033d76a7eA9cf1cF86c2d2a78F9A5e21F38B3F,0,0,0,0,0,0,0,0,0,2438826151198619860992,0,2438826151198619860992,12883475042903916544
0x0507B3ffe3836aD0f256f3D53b8fa7653e54E2EB,0,0,0,0,0,0,0,0,0,50067383307965505536,397787139226574258176,447854522534539755520,2365860543642942976
0x052d0e1303e118c846beceDD3d3cbB10999E8FCA,0,0,0,0,0,0,0,0,0,0,5000000000000000000000,5000000000000000000000,26413270655991660544
0x0540AB3B2Cb40DAD1EF9c19B07eA1D707b78fE47,0,0,0,0,0,0,0,0,0,13959,0,13959,74
0x058cFe683a1688E283bC88c6065c583F78cD90Fb,0,0,0,0,0,0,5077885334728877277184,0,0,0,5219914080532137246720,5219914080532137246720,27575000682023440384
0x0590E9d763bd6A73826b21dC520ae39C35a78728,0,0,0,0,0,0,0,0,0,0,286833774049675214848,286833774049675214848,1515243621450725632
0x05c63c42637060B3D4F8877f357fC7Fe1E387600,0,0,0,0,0,0,0,0,0,0,303004053825709211648,303004053825709211648,1600665616712224512
0x05d2838E962299878BF9e8941dD396de4aa998e5,0,0,0,0,0,0,0,0,0,28989632927401807872,0,28989632927401807872,153142204145862368
0x05d5a38C1a57AB37BCf04b23667212d1a567164b,0,0,0,0,0,0,0,0,0,565929767051955712,0,565929767051955712,2989611221885124
0x060DA8841055677c9320154ab78CD4c86f60CCe9,0,0,0,0,0,0,0,0,0,90063,0,90063,476
0x0611D04FB18E5a403F0D6720CA4766fF592f7362,0,0,0,0,0,0,0,0,0,930312150406353280,0,930312150406353280,4914517324648126
0x0623e23cBd07ebaDE18036CC708bA0B8CC42E789,0,0,0,0,0,0,0,0,0,25177,0,25177,133
0x0630717c9c6baEAbd2b0852e09dF08FEbAcCd227,0,0,0,0,0,0,0,0,0,0,4882852331854663680,4882852331854663680,25794420042903448
0x0649EDf640F8c4a25d556cd3303686b80387c5C4,0,0,0,0,0,0,0,0,0,793503279738873577472,0,793503279738873577472,4191803378831985664
0x064D587434EA8EC97921991dD9060Faa1C099919,0,0,0,0,0,0,0,0,0,86907771195070016,0,86907771195070016,459103696536876
0x064cB0bB4c8ABE11935134aEE670C032D6833556,0,0,0,0,8701278649260447891456,13100961383717103730688,1874528739974916866048,0,0,0,11403039469287143112704,24504000853004246843392,129446161337010356224
0x0661e91fD322ACB242e0c59FBAC6062714dBa280,0,0,0,0,0,0,0,0,0,0,2549405025521141022720,2549405025521141022720,13467624990167046144
0x0668013B17c9673238B73068d8d49F1153fA9d68,0,0,0,0,0,0,0,0,0,296339648074220896256,0,296339648074220896256,1565459866137143040
0x066bB7c61B4bbe60e08D985a939e51636a6D1F7E,0,0,0,0,0,0,0,0,0,928197673310863616,0,928197673310863616,4903347273484314
0x067D8cF17c002BC439968173f3656c9be65Fb38e,0,0,0,0,0,0,0,0,0,312759521589576138752,0,312759521589576138752,1652200378796788224
0x068E19d29a8C8BF57F30Da429bC64f6a50286b82,0,0,0,0,0,0,0,0,0,0,457713260760752324608,457713260760752324608,2417940847862047232
0x06917EFCE692CAD37A77a50B9BEEF6f4Cdd36422,0,0,0,0,0,0,0,0,0,0,54799999999999995805696,54799999999999995805696,289489446389668610048
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,0,0,0,0,0,0,0,0,0,0,1810115933976491982848,1810115933976491982848,9562216416568842240
0x06e3A09796DDF5d29E50f32b9b7C5E583ea47B3d,0,0,0,0,0,0,0,0,0,8582,0,8582,45
0x06e8B44333C32df7560490D3E2BfC55e14636372,0,0,0,0,0,0,0,0,0,1232917856951977216,0,1232917856951977216,6513078610455557
0x0719bAbC6c57aAA9cBf409F640bb56c511105945,0,0,0,0,0,0,0,0,0,5577,0,5577,29
0x0737467164f8bB1eF64F006612eDB6035AEA6EfB,0,0,0,0,0,0,0,0,0,153011102305837776896,0,153011102305837776896,808304731715144448
0x0752C21499eF2d003B7BebE9C1eC737EC3e6Eae9,0,0,0,0,0,0,0,0,0,0,450562373127513309184,450562373127513309184,2380165181764582912
0x0761F062E03fEd187060E9c6150c21bA9A64307d,0,0,0,0,0,0,0,0,0,0,294204643336571191296,294204643336571191296,1554181374539669760
0x077bA0f2ff4905B97760359e9F3cE3f0997A0B47,0,0,0,0,0,0,0,0,0,341194774381282066432,0,341194774381282066432,1802413984428562432
0x07Da272ad46DB8F83af8574dDc7b48944b24f035,0,0,0,0,0,0,5984372287539752468480,0,0,0,3250625478466751430656,3250625478466751430656,17171930112800940032
0x07DfF525f94C778F4D23D1F0dF6c04B5cE1a2ee1,0,0,0,0,0,0,0,0,0,120394746491262107648,0,120394746491262107648,636003804926641664
0x081Ff30EcbB8861d4b1F5cBeE862113b0E3Bf17d,0,0,0,0,0,0,0,0,0,0,524567191705994854400,524567191705994854400,2771107042356781056
0x0849101093FcD6220f0554f055E6B9E9aFf489Fb,0,0,0,0,0,0,0,0,0,110128977965158880,83397482577282727936,83507611555247882240,441141829168835840
0x08539431F4d59a02D0347588F6fBdb7d69aAd2c3,0,0,0,0,0,0,0,0,0,0,14534474197873913856,14534474197873913856,76780600166194192
0x0856b2bA7D277e5f4386c80b49E91F950224000C,0,0,0,0,0,0,1182004062425222217728,0,0,0,0,0,0
0x0881C74B8CE71a7d73FACdC5b53677e851b19E10,0,0,0,0,0,0,0,0,0,29938,0,29938,158
0x08C53a22096cA6AFA745C6f94690495f9ba35f76,0,0,0,0,0,0,0,0,0,81331000987983392,193955616952450318336,194036947953438294016,1025030084711346432
0x08F7de8a4Ca5f4D2842077F36Bf15b840d2ab64c,0,0,0,0,0,0,0,0,0,1836,0,1836,10
0x08bf7A88AfccD54dD305eaFE3201bCA9d29f0b6a,0,0,0,0,0,0,0,0,0,3148,0,3148,17
0x090F45701dBda2B9a33BEc65746aBeED901bdf63,0,0,0,0,0,0,0,0,0,4591073808249893,0,4591073808249893,24253055019788
0x092cC0BF1b4b0947962d6aC96d0Bb8bC21533406,0,0,0,0,0,0,0,0,0,77607225820730392576,21781427748251027636224,21859034974071759568896,115473721409789001728
0x0942086a607b12Fe0Dd5467620E6231C354bA175,0,0,0,0,0,0,0,0,0,943471197170490933248,0,943471197170490933248,4984032017399330816
0x094855473A1dE933ceEF87A7Ba5b865d148a9798,0,0,0,0,0,0,105652691478933716992,0,0,0,93085537584001433600,93085537584001433600,491738699672942784
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,0,0,0,0,0,0,0,0,0,78644134565019811840,0,78644134565019811840,415449762354419520
0x0992c6702C5876a6806bEa09270e1ac3c70fCB57,0,0,0,0,0,0,0,0,0,20159,0,20159,106
0x0995e2210bc210CFDEd3CFa3C295a60DD41B4248,0,0,0,0,0,0,0,0,0,70999723590035360,0,70999723590035360,375066983136840
0x09Ad254B10e416a87249fA8af17dF6f2A33A8707,0,0,0,0,0,0,0,0,0,470060082210722048,0,470060082210722048,2483164835201898
0x09BdEEC233086b8657231f13C4aCD173f4D7cc66,0,0,0,0,0,0,0,0,0,192476382996199520,0,192476382996199520,1016786159792986
0x09C16768d1a88eB1dD91AAbAbDFFA0DDF2f940C4,0,0,0,0,0,0,0,0,0,0,113706026765030473728,113706026765030473728,600669612032436352
0x09Fa38EBa245bb68354B8950FA2fe71f02863393,0,0,0,0,0,0,0,0,0,0,7955795379125836800,7955795379125836800,42027715326507704
0x09a4175e0A3Eae63F6a7a84d52D1958EB4Db3630,0,0,0,0,0,0,0,0,0,434924389108854,0,434924389108854,2297555120885
0x0A4D0E0C87DE030c17da3e2456630A619755A74b,0,0,0,0,0,0,0,0,0,34909,0,34909,184
0x0A7418ed592907CfdFc454Ce197b668749a9994B,0,0,0,0,1863204826651646492672,2805308905489793810432,0,0,0,92073726668544,602683858089898016768,3407992855653418795008,18003247538011932672
0x0A83985E4A6E8Dae2B67beD4f2d9268f6806Ce00,0,0,0,3469496887505796464640,0,0,19939673701045112832,0,0,0,792310941146389120,3470289198446942879744,18332337570628691968
0x0A88a4f48550ac545cF5D5D3b6d16A4fce6835C5,0,0,0,0,0,0,0,0,0,113267755527980464,0,113267755527980464,598354376671449
0x0AC9eCd9AF985fe45c85a2713413C0D92F51b5CA,0,0,0,0,0,0,0,0,0,0,213291467400000012288,213291467400000012288,1126745051409964416
0x0Afab77e0C3bCCb91529eEd6Aff66F7Cb1Abbac8,0,0,0,0,0,0,0,0,0,3388130735970138112,0,3388130735970138112,17898322829412696
0x0B1D042Dcd1580E84D55ED718cd1eA7497B02212,0,0,0,0,0,0,0,0,0,923,0,923,5
0x0B68a4B610B8F8e41B319aa5F2a678B42421993c,0,0,0,0,0,0,0,0,0,0,501954342786784624640,501954342786784624640,2651651182595551744
0x0B997e226B63FdED87673Bc8B43bA24477b8147A,10129763187200724992,133230729995262902272,5567542148386489630720,0,0,0,0,0,0,5815885815225597952,0,5583487797388916031488,29495634879372029952
0x0C578fc9b1E846849055f07d63e7AEE0ba56A75F,0,0,0,0,0,0,0,0,0,74021748001380496,13054711155303655669760,13054785177051656617984,68963914847458680832
0x0C7a24097cE0c51109D4D40BBb8D99b91F735e4B,0,0,0,0,0,0,0,0,0,0,1874666873697416511488,1874666873697416511488,9903216704958318592
0x0CA78eD9F48dFC2dBBFF9E1D55227e52359776f0,0,0,0,0,0,0,0,0,0,0,27187298552254470029312,27187298552254470029312,143621095013189517312
0x0CE9111D4454E3CFD2BeF6FE46cd2C750C41cbA0,0,0,0,0,0,0,0,0,0,0,155966642821716738048,155966642821716738048,823917830031276672
0x0CfFeECCED2B0536b3d9c6174FF7E2c4633C8625,0,0,0,0,0,0,0,0,0,18291,0,18291,97
0x0D68CE6bd88E1E7B1C6bAD527dC6796723969534,0,0,0,0,0,0,0,0,0,461317649990326784,0,461317649990326784,2436981589516106
0x0D7823FC6b5199a902702e9D3f1D946D35909221,0,0,0,0,0,0,0,0,0,403,0,403,2
0x0D884e8538c6cCf5791806A4D744B281461163D6,0,0,0,0,0,0,0,0,0,888524655566840064,313714019266562490368,314602543922129338368,1661936428335741440
0x0Df9a8932b1CcACfCaD3f1409431eBf8800F42e8,0,0,0,0,0,0,0,0,0,1038408836935574400,0,1038408836935574400,5485554732310566
