address,balance
0x557fC70312BCf3de81975B7F58Bc4CCf73d963A1,50811308766165750000
0x41ee737595c8952CFF90cC3d0bD6Eed0B202eFa0,148266845772055970000
0x79350a8348b9b727B01F769EB01e7eDC29904E5d,5169573134120790000000
0x064cB0bB4c8ABE11935134aEE670C032D6833556,1874528739974916600000
0x778ED629FDE5Bd41aFe90c687B4a2578574ff204,105154465798658820000
0x0d7Fce3461404033bd8455Ea445d0C2F9DD138d7,209076886714290300000
0x21A0e41ddbFEBE81a474BC28f924c93DC7f68e99,1300949271133612400000
0x7a3f2B402041b691AAfaEeeddF14E4dD8ac46EE0,11824273630181945000
0xbccC4c5855a95f88dD0D356b4BbF9afC536c4F17,1652689893486898400000
0x13D75321294C41bD55fCA695c2a0d966ae5a3572,121867971227714340000
0xcEE6E654Dc240A052C6F21751bd1b0498F6dD208,10894402538133732000000
0x471783d88282925DEa2ee95a41b132a457082245,69062690987570940000
0xAFaB1aDFb25E919D9f6eE7196f1AD0FFA93cAD12,534838493664960300000
0x523d0cd051E272856a2C925C08a5FBA8425c4944,1500000000000000000000
0xcFc3975f50208d6914ee472e4A290F0D232b041f,1
0x99Ff0739808b6f79B7e261beFAfd802be308Dc53,25077464589974974000
0xf537B452aA8ac7Ffdf34ff2827F3Ee6151936ABa,110779188933231980000
0xe161408D951e913EEBef0C2c07c1D5df2A2c0ae1,34577390118651575000000
0x3EE968e75D8A5F386ff5E6859F95BcaE7d22c84e,56868593376254500000
0xa41C85559dc6Ba97f496312C48311B043C06CC0e,222225412716469980000
0x50fEb8C44C9b68c902112AD4F6857AE61E97fA00,1948569838443860600000
0x4fbe899d37fb7514adf2f41B0630E018Ec275a0C,363052652159199500
0x2a2eddd1A7548f89E11FaA4f6031CD41353De9a3,389126709196104300000
0xe29cE1eE78e2c4FBb1045A4d409F6077b21E0cDc,2000085621476182500000
0xc8732F994157Eb7c37125b09C16ba094fb1d88a6,74291108421422800000
0x6b6cA48DA27304eeEb1D15d355D948f68b852733,472801624970088900000
0xe5845761e7773976055F2559ca54be41F09d9E88,114236148457696920000
0x7869901B01F941b242367981B9965c88F2a61fda,11586283770397288000
0x5Db2741169D14AeF22Da0102ca2abe4278BB0Df1,9985651550414754000
0x277369B0e3622Bc69b9cC6a0Cfa8c94c5487c6e3,12819309802726324000
0xA78a7b1c506a798747dc7B24734d0E1CB0FF5AFf,722176776019349900000
0x38A018f710055c71dD2400059634A322cA2477BC,1
0xdfCeC744c8417d2A0Ef72fE520438dd20F368369,6430519622435099000000
0x2a724bE1b63caEC1c3Ef95834fdD443c3347Ee1D,21745557321875390000
0x17D3b8142b698bE076eA89339a29FBd36359a734,26500580903077750000000
0xc967ad1761a29AE81FA6065577b6abe3357287b0,496610581595120000000
0x79fA23dAF89bcbFA81B39BB822ef159A939a97E7,2999998049369526300
0xC4a2C87072bdC8AF8a3437217e16b81299653a9e,44812588886356760000
0x6473a62f180508235C26F6B9C5ca3071e25F7287,59673123652338660000
0xF50BF4cdF303F764155b73C42746775EB0b89a75,165977331707400900000
0x2847756be7B0af1Bb5269D0dDc50CFae3BBfae4f,152820558027136900000
0xf99ebC40de07d08C17D5C0d39CD3f1b8Dd0B21e2,2006092912580059000000
0xe94E20d0e6A1f3c340ABB4f07823B2b96BE05423,1297849409180289700000
0x737FBEF85A56D4Dc0f2e1d2961FAA77f2d3e7156,288421326646491300000
0x737E494f92CC95b36B6a6bD96bEA3BC75fB9A0e7,154874552923226850000000
0x44C9994F60D4695Aa6d62C55Bf3887039A252d5a,633548510326919900000
0xFfeBf6d66311148429a29Ece5745c75D02B331F9,15099111583132825000000
0x094855473A1dE933ceEF87A7Ba5b865d148a9798,105652691478933730000
0xE611e1Fe5A69385593A76C934fdd90B0270A79e0,24114027030441144000
0x2B99E160351c1Afb75d9ad28d2bA6E66e72a3F0e,7654515500821587000000
0x51801E488fb84E9d6b5Cf3fb8a7a5FB0e140C612,1
0xd20f1DA8De31810c076983f759807842de9f59A6,768414300970780300000
0x2BCc96F3475161E1CBAc36d901296E9D7A53F585,240304911362297170000
0x9651d6C4Efb2F78fdAbD75537596df7F6d0d9C5f,55849170586292340000
0x8100c6D03Bf91C4c524f1356CA27b51d3CDd9Be0,30055875369930920000
0xB4C0dEeEa3Bf21DBC47A8ff22183eE7f13117C69,2
0xE384dc2861717bbB8Cd3bbD4c2508dC07Ff61E57,38917800869291030000
0x1A9289Aabb923C82634ce206984D7741aD2742cC,344011082346286100000
0xAbe69Aa27BffBDbf006D3918B68430c78895BE53,121511817774605350000
0x0FeB0f31D67ADBBc950Ac0c5266490A9a9735a49,444134713596811600000
0x28C974C18C6553B445c4B77F35D83F3499ACF58f,10282978679386264000
0x44a95C60E15e8AB9C8ad61FdbC2560e2B00aD820,12631540014201156000
0xDcBeF2bA1E9471D3D12B47E1d6B81D55D55292af,46440808310791315000
0x72EEc2691B856a7F0B5529266e83f3C7a0552b35,382454329118088100000
0xD3e22aAf43BE72a1196F64ff46108aab0801948C,749111611713478900000
0xAf79312EB821871208ac76A80c8E282f8796964e,3301419544398260000
0x28893320E3Ec737271510b92b3eFe948144A396E,460354338764777100000
0xD2476321E3c0d862CfA9647c1019D2eDdc761C40,27200912464169810000
0x4413A906a012F06bD0ABDa5eeC45F7D67b449284,4861415181746050000000
0x2cB84580f0EfeA27eBD322b10216CFce7Bc173DB,32536481035745492
0x6A08CA93567d477C6699C50d3De6eaeB0307C8c0,259845903208368770000
0x4643731FA0406F21A6cC479E442BB4e59b742C69,577145493622568260000
