address,balance
0x0B997e226B63FdED87673Bc8B43bA24477b8147A,10129763187200723000
0x17D3b8142b698bE076eA89339a29FBd36359a734,3281956672317235
0x20D5F3f40Dd1783D4e1075fc028732D60D2B9Dd6,100950897282352740
0x211A81532DcA439F5f044DDA65f1bA363ccA7A12,8368107607447795
0x2728e32174FC95De00695007c9134fA03dC8b434,204823182427566400000
0x2Ba443D81ed45D6c2646B09Fab4f70003c2dB412,15948490322811924000
0x30d41eA111355a3EDf8a67e6c61A2e21ccE6e085,10415659167032304000
0x3461e03e15329f64B95264e4FFD7079281ae1e48,8910629295211518000
0x3BF6c60B7D57cfd8875D9aF8c72baED2DE9F16f1,14142154598620506000
0x3E7b8D12D4De6CB284A7d60Bf92B462D2a6d6A2F,8720233505364874
0x407deB6086F24dFd951eD53107Efde91e7169d6c,5796070579528396000
0x51BfC6e47c96d2b8c564B0DdD2C44fC03707cdc7,512223095955008600000000
0x5929cC4D10b6a1acc5bF5D221889f10251C628A1,59024428569445660000
0x5cA6Bb1104dC37f38370101835D2A87B48E71Aad,76485
0x5ca642d0138f8fa36f4ec6311190825392246AdA,6108471637241924
0x6E6186D5D11B420B94eFCAAe908a981205a822f2,365431
0x6a5334E6c9352C1b5735969DD439e41BCF9b4dA4,4590
0x73051a64044FEa61A6100eB0b55C9087BE32ccA3,3226688710616181000
0x7532A096bE1a39A87aF68e3b27e06dde7065E87F,30439
0x95d957731c8161825dd8d984E65BA5f03464389e,65999999999999995805696
0x95e90cc769EdF0cdBe9ff8A45b656D8316977bb2,110870424452413540
0x9831eE7d1E1fd7721991AF71D49dF56a0FA65538,1901954
0x98D1d755807c8E98824f003c402ab40C1A7e1847,29021253739012092
0xAf79312EB821871208ac76A80c8E282f8796964e,2711
0xB1dD2Fdb023cB54b7cc2a0f5D9e8d47a9F7723ce,27632237693002256000
0xBB44A1487619F34344701EdAb18AD46FE9773bC7,348220
0xCC5128106e4F57B784fA059B62DaA7381e391307,7974818336722931000
0xD7FF20a8c5Ac84cf1aea70908F5d3CC36951d121,1640000000000
0xE1D8Ffc920Dda7995b590e4D76c71d7D2C2945b0,90342831744765950
0xEd6686F3daBD9e2F81B67390F7823958701a8E4e,45106411867396070
0xad036a7E58dfa18A6511E85D29B0341E16bcBD9b,3704594740
0xb06620E620d16B65627568DA15558f2b48bD03eb,2519302687704514600
0xb4a3c2DebfC033Ee3399AD6aDf0B4fc74db92baA,2691146627437863000
0xbA9B8E4355bD706e88BE4CfD856f8088aA6dDc72,76684
0xc01895BF22E746Af53A6d820a3224521CEe0B916,6531759286814152
0xcC28906983a61541632fb9B8ae2e1bEe531C4aaA,276596105505929120
0xd7544C4b2EBC642D18E27Bf166074c7d17002d82,343072
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,6534663467612657000
0xe5845761e7773976055F2559ca54be41F09d9E88,5685432534030043000
0xe929e53399F9Ec12f9d48d2aDf258b54D161EEA7,421988755608119200000
0xeF627D0C41Bd249a96DAE64249d4360780001F17,7135
0xf99C8873B972b4192e789F55AB954188D0d9A133,1002223
